TEMU文件处理日报 - 2025-10-22
==================================================
总处理文件数: 1318

📊 按触发方式统计:
  定期扫描: 1318 个文件

📊 按账号统计:
  .WeDrive: 1 个文件
  9.11 TEMU STORE by 运营.xlsx: 1 个文件
  9.12 Nanfu list by 运营 .xlsx: 1 个文件
  sku match.xlsx: 1 个文件
  temu_batteries_bundle.xlsx: 1 个文件
  temu_monthly_fulfillment_shipment_all_data___aug_27_2025-08-28T14_25_59.789733Z.xlsx: 1 个文件
  temu_monthly_fulfillment_shipment_all_data___aug_27_2025-09-10T19_58_18.843358Z.xlsx: 1 个文件
  Anotherpologies account: 47 个文件
  Broke n Happy account: 99 个文件
  Canadian Wheel account: 139 个文件
  DealDepot account: 52 个文件
  Edifier Official Shop: 166 个文件
  EDIFIER Refurbished Official Shop: 136 个文件
  Emptybay Traders account: 72 个文件
  Good Basics account: 141 个文件
  Jackery Official Shop account: 60 个文件
  JuicyPenny account: 139 个文件
  sixale outfitters account: 159 个文件
  Ventchoice Account: 101 个文件

📊 按状态统计:
  失败: 1172 个文件
  跳过: 81 个文件
  成功 (1/1): 49 个文件
  成功 (2/2): 16 个文件

📋 详细记录:
  - 2025-10-22 12:31:45 | 定期扫描 | .WeDrive | .WeDrive | 失败
  - 2025-10-22 12:31:45 | 定期扫描 | 9.11 TEMU STORE by 运营.xlsx | 9.11 TEMU STORE by 运营.xlsx | 失败
  - 2025-10-22 12:31:45 | 定期扫描 | 9.12 Nanfu list by 运营 .xlsx | 9.12 Nanfu list by 运营 .xlsx | 失败
  - 2025-10-22 12:31:45 | 定期扫描 | sku match.xlsx | sku match.xlsx | 失败
  - 2025-10-22 12:31:45 | 定期扫描 | temu_batteries_bundle.xlsx | temu_batteries_bundle.xlsx | 失败
  - 2025-10-22 12:31:45 | 定期扫描 | temu_monthly_fulfillment_shipment_all_data___aug_27_2025-08-28T14_25_59.789733Z.xlsx | temu_monthly_fulfillment_shipment_all_data___aug_27_2025-08-28T14_25_59.789733Z.xlsx | 失败
  - 2025-10-22 12:31:45 | 定期扫描 | temu_monthly_fulfillment_shipment_all_data___aug_27_2025-09-10T19_58_18.843358Z.xlsx | temu_monthly_fulfillment_shipment_all_data___aug_27_2025-09-10T19_58_18.843358Z.xlsx | 失败
  - 2025-10-22 12:31:45 | 定期扫描 | Anotherpologies account | .WeDrive | 跳过
  - 2025-10-22 12:31:45 | 定期扫描 | Anotherpologies account | .WeDrive | 跳过
  - 2025-10-22 12:31:45 | 定期扫描 | Anotherpologies account | .WeDrive | 跳过
  - 2025-10-22 12:31:45 | 定期扫描 | Anotherpologies account | TEMU(Anotherpologies)BillDetails-202408.xlsx | 跳过
  - 2025-10-22 12:31:45 | 定期扫描 | Anotherpologies account | TEMU(Anotherpologies)财务结算明细202408.xlsx | 跳过
  - 2025-10-22 12:31:45 | 定期扫描 | Anotherpologies account | .WeDrive | 跳过
  - 2025-10-22 12:31:45 | 定期扫描 | Anotherpologies account | TEMU(Anotherpologies)BillDetails-202409.xlsx | 跳过
  - 2025-10-22 12:31:45 | 定期扫描 | Anotherpologies account | TEMU(Anotherpologies)财务结算明细202409.xlsx | 跳过
  - 2025-10-22 12:31:45 | 定期扫描 | Anotherpologies account | .WeDrive | 跳过
  - 2025-10-22 12:31:45 | 定期扫描 | Anotherpologies account | TEMU(Anotherpologies)BillDetails-202410.xlsx | 跳过
  - 2025-10-22 12:31:45 | 定期扫描 | Anotherpologies account | TEMU(Anotherpologies)发货面单费202410.xlsx | 成功 (1/1)
  - 2025-10-22 12:31:45 | 定期扫描 | Anotherpologies account | TEMU(Anotherpologies)订单明细202410.xlsx | 成功 (1/1)
  - 2025-10-22 12:31:45 | 定期扫描 | Anotherpologies account | .WeDrive | 跳过
  - 2025-10-22 12:31:45 | 定期扫描 | Anotherpologies account | 11月无BillDetails和发货面单费.txt | 跳过
  - 2025-10-22 12:31:45 | 定期扫描 | Anotherpologies account | TEMU(Anotherpologies)订单明细202411.csv | 成功 (1/1)
  - 2025-10-22 12:31:45 | 定期扫描 | Anotherpologies account | .WeDrive | 跳过
  - 2025-10-22 12:31:45 | 定期扫描 | Anotherpologies account | 12月无BillDetails无订单无发货面单费.txt | 跳过
  - 2025-10-22 12:31:45 | 定期扫描 | Anotherpologies account | .WeDrive | 跳过
  - 2025-10-22 12:31:45 | 定期扫描 | Anotherpologies account | 1月无订单、BillDetails和发货面单费.txt | 跳过
  - 2025-10-22 12:31:45 | 定期扫描 | Anotherpologies account | .WeDrive | 跳过
  - 2025-10-22 12:31:45 | 定期扫描 | Anotherpologies account | 2月无订单、BillDetails和发货面单费.txt | 跳过
  - 2025-10-22 12:31:45 | 定期扫描 | Anotherpologies account | .WeDrive | 跳过
  - 2025-10-22 12:31:45 | 定期扫描 | Anotherpologies account | 3月无订单、BillDetails和发货面单费.txt | 跳过
  - 2025-10-22 12:31:46 | 定期扫描 | Anotherpologies account | .WeDrive | 跳过
  - 2025-10-22 12:31:46 | 定期扫描 | Anotherpologies account | 4月无订单.txt | 跳过
  - 2025-10-22 12:31:46 | 定期扫描 | Anotherpologies account | TEMU(Anotherpologies )发货面单费202504.xlsx | 成功 (1/1)
  - 2025-10-22 12:31:46 | 定期扫描 | Anotherpologies account | TEMU(Anotherpologies)BillDetails-202504.xlsx | 跳过
  - 2025-10-22 12:31:46 | 定期扫描 | Anotherpologies account | .WeDrive | 跳过
  - 2025-10-22 12:31:46 | 定期扫描 | Anotherpologies account | 5月无订单、无面单费.txt | 跳过
  - 2025-10-22 12:31:46 | 定期扫描 | Anotherpologies account | TEMU(Anotherpologies)BillDetails-202505.xlsx | 跳过
  - 2025-10-22 12:31:46 | 定期扫描 | Anotherpologies account | .WeDrive | 跳过
  - 2025-10-22 12:31:46 | 定期扫描 | Anotherpologies account | 6月无 BillDetails .png | 跳过
  - 2025-10-22 12:31:46 | 定期扫描 | Anotherpologies account | 6月无发货名单、无退货面单.txt | 跳过
  - 2025-10-22 12:31:46 | 定期扫描 | Anotherpologies account | TEMU (Anotherpologies) 订单明细- 202506  全球（除美国、欧洲）.csv | 成功 (1/1)
  - 2025-10-22 12:31:46 | 定期扫描 | Anotherpologies account | TEMU (Anotherpologies) 订单明细- 202506  美国.csv | 成功 (1/1)
  - 2025-10-22 12:31:46 | 定期扫描 | Anotherpologies account | TEMU (Anotherpologies) 订单明细- 202507  美国.xlsx | 成功 (1/1)
  - 2025-10-22 12:31:46 | 定期扫描 | Anotherpologies account | TEMU(Anotherpologies )发货面单费202507.xlsx | 成功 (1/1)
  - 2025-10-22 12:31:46 | 定期扫描 | Anotherpologies account | TEMU(Anotherpologies)BillDetails-202507.xlsx | 跳过
  - 2025-10-22 12:31:46 | 定期扫描 | Anotherpologies account | .WeDrive | 跳过
