处理时间,账号,文件名,文件类型,源文件路径,目标文件夹,文件大小,处理状态,触发方式,备注
2025-10-22 12:31:45,.WeDrive,.WeDrive,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\.WeDrive,,29,失败,定期扫描,未知账号: .WeDrive
2025-10-22 12:31:45,9.11 TEMU STORE by 运营.xlsx,9.11 TEMU STORE by 运营.xlsx,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\9.11 TEMU STORE by 运营.xlsx,,812263,失败,定期扫描,未知账号: 9.11 TEMU STORE by 运营.xlsx
2025-10-22 12:31:45,9.12 Nanfu list by 运营 .xlsx,9.12 Nanfu list by 运营 .xlsx,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\9.12 Nanfu list by 运营 .xlsx,,11018,失败,定期扫描,未知账号: 9.12 Nanfu list by 运营 .xlsx
2025-10-22 12:31:45,sku match.xlsx,sku match.xlsx,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\sku match.xlsx,,6185,失败,定期扫描,未知账号: sku match.xlsx
2025-10-22 12:31:45,temu_batteries_bundle.xlsx,temu_batteries_bundle.xlsx,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\temu_batteries_bundle.xlsx,,6185,失败,定期扫描,未知账号: temu_batteries_bundle.xlsx
2025-10-22 12:31:45,temu_monthly_fulfillment_shipment_all_data___aug_27_2025-08-28T14_25_59.789733Z.xlsx,temu_monthly_fulfillment_shipment_all_data___aug_27_2025-08-28T14_25_59.789733Z.xlsx,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\temu_monthly_fulfillment_shipment_all_data___aug_27_2025-08-28T14_25_59.789733Z.xlsx,,6793807,失败,定期扫描,未知账号: temu_monthly_fulfillment_shipment_all_data___aug_27_2025-08-28T14_25_59.789733Z.xlsx
2025-10-22 12:31:45,temu_monthly_fulfillment_shipment_all_data___aug_27_2025-09-10T19_58_18.843358Z.xlsx,temu_monthly_fulfillment_shipment_all_data___aug_27_2025-09-10T19_58_18.843358Z.xlsx,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\temu_monthly_fulfillment_shipment_all_data___aug_27_2025-09-10T19_58_18.843358Z.xlsx,,7646716,失败,定期扫描,未知账号: temu_monthly_fulfillment_shipment_all_data___aug_27_2025-09-10T19_58_18.843358Z.xlsx
2025-10-22 12:31:45,Anotherpologies account,.WeDrive,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Anotherpologies account\.WeDrive,,53,跳过,定期扫描,未匹配到文件类型规则
2025-10-22 12:31:45,Anotherpologies account,.WeDrive,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Anotherpologies account\2024\.WeDrive,,58,跳过,定期扫描,未匹配到文件类型规则
2025-10-22 12:31:45,Anotherpologies account,.WeDrive,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Anotherpologies account\2024\202408\.WeDrive,,65,跳过,定期扫描,未匹配到文件类型规则
2025-10-22 12:31:45,Anotherpologies account,TEMU(Anotherpologies)BillDetails-202408.xlsx,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Anotherpologies account\2024\202408\TEMU(Anotherpologies)BillDetails-202408.xlsx,,3873,跳过,定期扫描,未匹配到文件类型规则
2025-10-22 12:31:45,Anotherpologies account,TEMU(Anotherpologies)财务结算明细202408.xlsx,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Anotherpologies account\2024\202408\TEMU(Anotherpologies)财务结算明细202408.xlsx,,5965,跳过,定期扫描,未匹配到文件类型规则
2025-10-22 12:31:45,Anotherpologies account,.WeDrive,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Anotherpologies account\2024\202409\.WeDrive,,65,跳过,定期扫描,未匹配到文件类型规则
2025-10-22 12:31:45,Anotherpologies account,TEMU(Anotherpologies)BillDetails-202409.xlsx,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Anotherpologies account\2024\202409\TEMU(Anotherpologies)BillDetails-202409.xlsx,,8957,跳过,定期扫描,未匹配到文件类型规则
2025-10-22 12:31:45,Anotherpologies account,TEMU(Anotherpologies)财务结算明细202409.xlsx,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Anotherpologies account\2024\202409\TEMU(Anotherpologies)财务结算明细202409.xlsx,,7124,跳过,定期扫描,未匹配到文件类型规则
2025-10-22 12:31:45,Anotherpologies account,.WeDrive,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Anotherpologies account\2024\202410\.WeDrive,,65,跳过,定期扫描,未匹配到文件类型规则
2025-10-22 12:31:45,Anotherpologies account,TEMU(Anotherpologies)BillDetails-202410.xlsx,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Anotherpologies account\2024\202410\TEMU(Anotherpologies)BillDetails-202410.xlsx,,3754,跳过,定期扫描,未匹配到文件类型规则
2025-10-22 12:31:45,Anotherpologies account,TEMU(Anotherpologies)发货面单费202410.xlsx,raw data fulfillment cost,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Anotherpologies account\2024\202410\TEMU(Anotherpologies)发货面单费202410.xlsx,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Anotherpologies account\raw data fulfillment cost,3767,成功 (1/1),定期扫描,
2025-10-22 12:31:45,Anotherpologies account,TEMU(Anotherpologies)订单明细202410.xlsx,raw data order details,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Anotherpologies account\2024\202410\TEMU(Anotherpologies)订单明细202410.xlsx,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Anotherpologies account\raw data order details,9829,成功 (1/1),定期扫描,
2025-10-22 12:31:45,Anotherpologies account,.WeDrive,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Anotherpologies account\2024\202411\.WeDrive,,65,跳过,定期扫描,未匹配到文件类型规则
2025-10-22 12:31:45,Anotherpologies account,11月无BillDetails和发货面单费.txt,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Anotherpologies account\2024\202411\11月无BillDetails和发货面单费.txt,,37,跳过,定期扫描,未匹配到文件类型规则
2025-10-22 12:31:45,Anotherpologies account,TEMU(Anotherpologies)订单明细202411.csv,raw data order details,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Anotherpologies account\2024\202411\TEMU(Anotherpologies)订单明细202411.csv,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Anotherpologies account\raw data order details,439,成功 (1/1),定期扫描,
2025-10-22 12:31:45,Anotherpologies account,.WeDrive,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Anotherpologies account\2024\202412\.WeDrive,,65,跳过,定期扫描,未匹配到文件类型规则
2025-10-22 12:31:45,Anotherpologies account,12月无BillDetails无订单无发货面单费.txt,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Anotherpologies account\2024\202412\12月无BillDetails无订单无发货面单费.txt,,46,跳过,定期扫描,未匹配到文件类型规则
2025-10-22 12:31:45,Anotherpologies account,.WeDrive,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Anotherpologies account\202501\.WeDrive,,60,跳过,定期扫描,未匹配到文件类型规则
2025-10-22 12:31:45,Anotherpologies account,1月无订单、BillDetails和发货面单费.txt,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Anotherpologies account\202501\1月无订单、BillDetails和发货面单费.txt,,45,跳过,定期扫描,未匹配到文件类型规则
2025-10-22 12:31:45,Anotherpologies account,.WeDrive,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Anotherpologies account\202502\.WeDrive,,60,跳过,定期扫描,未匹配到文件类型规则
2025-10-22 12:31:45,Anotherpologies account,2月无订单、BillDetails和发货面单费.txt,,C:\Users\vuser\Documents\Monthly Report\Monthly Channel Profit\Temu Ventchoice\Anotherpologies account\202502\2月无订单、BillDetails和发货面单费.txt,,45,跳过,定期扫描,未匹配到文件类型规则
